"gene_name","EnsemblID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NOL3","ENSG00000140939",920.257071753637,-0.0511547124537654,0.0861768475723352,-0.593601575073016,0.552778627313287,0.802297891978226
"SHLD1","ENSG00000171984",97.3329103229014,-0.139054729833949,0.234261166609713,-0.59358848009845,0.552787387871752,0.802297891978226
"TM2D1","ENSG00000162604",411.133884506809,-0.070201559221216,0.118363622569233,-0.593100799869098,0.553113695190673,0.802687983700881
"PRELID1","ENSG00000169230",7669.61891694245,-0.0229160781240942,0.0386501176032631,-0.592910954614003,0.553240746365236,0.802788860456347
"AFAP1L2","ENSG00000169129",1390.34487810125,0.0442771611173982,0.0747084434389454,0.592666090728864,0.553404639076598,0.802943170174365
"SATB2","ENSG00000119042",536.388876482651,-0.0715603452381612,0.120764472937296,-0.592561235085399,0.553474828508037,0.80296150643071
"DAXX","ENSG00000204209",1458.03749493931,0.04144836572406,0.0699829460201927,0.592263802556992,0.553673950916342,0.803166870782367
"BRD3OS","ENSG00000235106",548.756684980215,0.0626842455033216,0.105857998128597,0.592154080102409,0.553747415759623,0.803189930832547
"EED","ENSG00000074266",1150.86920667603,-0.0415398791405446,0.0701621368212498,-0.592055502049128,0.553813422922117,0.803202170125715
"SNX16","ENSG00000104497",106.488414941656,-0.158772505701203,0.268263975871105,-0.591851757902408,0.553949860761281,0.803289892640297
"BMAL1","ENSG00000133794",328.245441871404,-0.082127319549551,0.138854387753111,-0.591463625158012,0.554209820465998,0.803289892640297
"AUTS2","ENSG00000158321",470.36056336421,-0.0906560836402724,0.153223034616352,-0.591660933144041,0.554077662017513,0.803289892640297
"COX5A","ENSG00000178741",2965.67078811962,-0.0291278501530451,0.049234026091511,-0.591620317601192,0.554104865368252,0.803289892640297
"MEF2B","ENSG00000213999",42.5999619914776,-0.250956705902361,0.424234302329486,-0.591552131745001,0.554150536146728,0.803289892640297
"ENSG00000287445","ENSG00000287445",46.6633246897548,-0.194479742853446,0.32881891166958,-0.591449384300842,0.554219359701513,0.803289892640297
"ZFAND6","ENSG00000086666",2291.81954516941,-0.0352769686696628,0.0596552258650959,-0.591347499872651,0.554287609310325,0.803305362532218
"DHX32","ENSG00000089876",1402.59932661408,-0.0422488833272265,0.0714813799823861,-0.591047393567907,0.554488666259156,0.803513281226396
"BTBD19","ENSG00000222009",41.0725858504522,-0.206329116096535,0.349274206786113,-0.590736768097182,0.554696808111859,0.803731422450582
"TRIAP1","ENSG00000170855",1733.3577808716,-0.0362231880931451,0.0613378021322328,-0.590552429887441,0.554820346296057,0.803826944083342
